ID,Nome do Serviço,Subtítulo (Origem),Categoria,Subcategoria,Descrição,Imagem (URL),Vídeo (URL),Link (CTA),Tipo de Mídia,Data de Criação
AV_CIN_23_01,Produção de curta metragem,Cliente: 'Nome do Cliente',Audiovisual,Cinema,"Produção de curta, longa ou documentário sobre cultura.",https://exemplo.com/cinema.jpg,https://exemplo.com/cinema.mp4,/projetos/cinema,Vídeo,2023
AV_CLI_23_02,Videoclipe para Banda XYZ,Cliente: 'Banda XYZ',Audiovisual,Clipe,Produção de videoclipe para a música 'XYZ'.,https://exemplo.com/clipe.jpg,https://exemplo.com/clipe.mp4,/projetos/clipe,Vídeo,2023
AV_INS_23_03,Vídeo institucional para Empresa ABC,Cliente: 'Empresa ABC',Audiovisual,Institucional,Produção de vídeo institucional para a empresa.,https://exemplo.com/institucional.jpg,https://exemplo.com/institucional.mp4,/projetos/institucional,Vídeo,2023
AV_TEE_23_04,Teaser do Evento XYZ,Cliente: 'Evento XYZ',Audiovisual,Teaser,Criação de teaser promocional para evento.,https://exemplo.com/teaser.jpg,https://exemplo.com/teaser.mp4,/projetos/teaser,Vídeo,2023
AV_COM_23_05,Comercial para Produto XYZ,Cliente: 'Produto XYZ',Audiovisual,Comercial,Produção de comercial publicitário para TV e online.,https://exemplo.com/comercial.jpg,https://exemplo.com/comercial.mp4,/projetos/comercial,Vídeo,2023
PH_PRO_23_06,Sessão fotográfica para Loja Online ABC,Cliente: 'E-commerce ABC',Fotografia,Produtos,Sessão de fotos para loja online de roupas.,https://exemplo.com/produtos.jpg,https://exemplo.com/produtos.mp4,/produtos/fotografia,Imagem,2023
PH_EVE_23_07,Cobertura fotográfica de casamento,Cliente: 'Nome do Cliente',Fotografia,Eventos,Cobertura fotográfica de evento social.,https://exemplo.com/casamento.jpg,,/eventos/casamento,Imagem,2023
PH_EDI_23_08,Retrato editorial para marca pessoal,Cliente: 'Nome do Cliente',Fotografia,Editorial,Ensaios fotográficos para marcas pessoais.,https://exemplo.com/editorial.jpg,,/marcas/editorial,Imagem,2023
TE_APP_23_09,Desenvolvimento de app educacional,Cliente: 'Escola XYZ',Tecnologia,Aplicativos,Desenvolvimento de app para acompanhamento educacional.,https://exemplo.com/app.jpg,https://exemplo.com/app.mp4,/projetos/app,Vídeo,2023
TE_JOG_23_10,Jogo digital cultural,Cliente: 'Nome do Cliente',Tecnologia,Jogos Digitais,Criação de jogo digital com temática cultural.,https://exemplo.com/jogo.jpg,https://exemplo.com/jogo.mp4,/projetos/jogo,Vídeo,2023
SC_PJC_23_11,Projeto cultural sobre Folclore Amazonense,Projeto 'Lei Rouanet',Sociedade,Projetos Culturais,Produção de projeto cultural com apoio de Lei Rouanet.,https://exemplo.com/projeto.jpg,https://exemplo.com/projeto.mp4,/projetos/projeto,Vídeo,2023
MA_IDV_23_12,Criação de identidade visual corporativa,Cliente: 'Empresa XYZ',Marketing,Identidade Visual,Criação de logotipo e materiais visuais para marca.,https://exemplo.com/logo.jpg,https://exemplo.com/campanha.mp4,/projetos/logo,Imagem,2023
MA_CAM_23_13,Campanha publicitária para Produto XYZ,Cliente: 'Produto XYZ',Marketing,Campanhas Publicitárias,Criação de campanha publicitária para produto XYZ.,https://exemplo.com/campanha.jpg,,/projetos/campanha,Vídeo,2023
MA_MAT_23_14,Materiais promocionais para Empresa ABC,Cliente: 'Empresa ABC',Marketing,Materiais Promocionais,"Produção de folders, banners e brindes promocionais.",https://exemplo.com/promocionais.jpg,,/promocionais,Imagem,2023
MA_CON_23_15,Consultoria comercial para mercado local,Cliente: 'Empresa XYZ',Marketing,Consultoria Comercial,"Consultoria para estratégias de vendas, posicionamento de mercado e desenvolvimento comercial.",https://exemplo.com/consultoria.jpg,,/projetos/consultoria,Imagem,2023
